Temperature,Humidity,Rainfall,Soil_pH,N,P,K,Crop,Disease
33.6,81.7,135.9,6.55,109,44,23,Maize,Turcicum Leaf Blight
25.6,73.2,132,6.21,94,34,42,Wheat,Leaf Rust
29.3,64.5,168.9,7.33,82,45,35,Cotton,Verticillium Wilt
27.2,70.3,122.3,6.21,91,45,27,Tomato,Early Blight
16,81.7,162.1,5.97,81,46,44,Apple,Apple Scab
32.8,59.7,182.2,6.64,104,53,18,Chili,Anthracnose
23.5,74.1,141.9,6.62,92,32,35,Wheat,Leaf Rust
36.1,85.9,148.8,6.91,115,51,27,Maize,Turcicum Leaf Blight
30.9,68.8,145.4,6.32,104,48,37,Tomato,Bacterial Spot
20.4,61.3,133.8,5.86,63,59,26,Potato,Early Blight
24,62.8,135.3,6.1,80,64,29,Potato,Early Blight
32.3,74.5,207.1,6.93,98,42,28,Cotton,Leaf Spot
32.3,67.7,198.8,6.47,88,37,34,Cotton,Leaf Spot
26.3,66.1,179.2,6.38,94,31,38,Chili,Powdery Mildew
19,81.2,169.3,6.44,82,49,42,Apple,Cedar Apple Rust
28.1,84.1,253.7,6.2,95,33,37,Chili,Leaf Spot
26.7,51.6,187.6,6.84,83,40,31,Cotton,Verticillium Wilt
30,76.4,169.2,6.69,103,41,36,Tomato,Bacterial Spot
34,69.7,199.6,6.36,96,35,28,Cotton,Leaf Spot
33.3,49,183.5,6.51,102,54,20,Chili,Anthracnose
32.5,43.9,248.3,6.38,79,59,35,Cotton,Bacterial Blight
33.1,85.3,240.3,6.18,98,46,41,Rice,Bacterial Leaf Blight
19.2,75.7,163.6,6.16,85,54,40,Apple,Cedar Apple Rust
24.3,65.1,132.5,6.39,87,34,38,Wheat,Leaf Rust
27,74.6,169,6.05,101,42,41,Wheat,Leaf Rust
36.2,86.8,133.5,7.14,120,44,26,Maize,Turcicum Leaf Blight
25.6,55.7,196.9,6.65,82,53,36,Cotton,Verticillium Wilt
30.3,89.4,172.6,6.54,101,35,26,Maize,Gray Leaf Spot
31.7,89.3,206.4,6.6,109,34,31,Maize,Common Rust
29.9,77.6,161.6,6.39,94,47,41,Tomato,Bacterial Spot
15.1,83.1,174.7,6.58,83,49,47,Apple,Apple Scab
28.2,80.7,161.1,5.8,107,42,26,Maize,Common Rust
37.6,72.5,232.7,6.03,98,39,48,Rice,Bacterial Leaf Blight
31,65.1,183.2,6.86,77,53,30,Cotton,Verticillium Wilt
25.6,82.4,180.4,5.93,104,40,32,Maize,Common Rust
21.2,72.5,148.7,6.33,87,25,47,Potato,Late Blight
23.3,82.9,164.4,6.53,92,44,41,Apple,Cedar Apple Rust
33.4,78.5,188.3,6.13,102,42,15,Maize,Gray Leaf Spot
21.6,85.7,180.3,6.04,73,47,50,Apple,Apple Scab
33.2,75.8,190.5,6.34,110,39,18,Maize,Gray Leaf Spot
30.6,46.5,230,6.56,77,45,37,Cotton,Bacterial Blight
29,73,150.4,6.19,95,59,25,Tomato,Early Blight
27.2,63.7,168.7,6.77,89,36,43,Wheat,Leaf Rust
25.5,74.7,137.5,6.24,89,58,34,Tomato,Early Blight
17.9,81.3,169.9,5.87,77,41,53,Apple,Apple Scab
30.4,74.9,215.9,6.56,81,37,27,Cotton,Leaf Spot
36.5,71,233.2,6.71,105,41,45,Rice,Bacterial Leaf Blight
30.1,61.6,204.2,5.91,80,36,30,Rice,Brown Spot
28.5,70.8,212.8,5.64,78,28,30,Rice,Brown Spot
18.4,78.2,167,5.61,76,48,32,Apple,Cedar Apple Rust
20.2,87.8,181.8,5.73,77,41,35,Tomato,Late Blight
33.5,95.3,295.3,7.04,128,37,40,Chili,Leaf Spot
28.2,78.8,156.1,6.54,100,41,35,Chili,Powdery Mildew
26,60.9,155,6.28,86,50,29,Tomato,Early Blight
28.1,69.7,134.6,6.25,98,54,30,Tomato,Early Blight
20.1,93.3,179.3,6.08,87,42,40,Tomato,Late Blight
20.8,61.8,155.9,6.18,69,54,31,Potato,Early Blight
28.1,66,254.4,6.02,80,32,28,Rice,Brown Spot
37.2,59.5,245.1,6.36,80,51,44,Cotton,Bacterial Blight
19.6,82.3,200,5.97,100,34,44,Wheat,Septoria Leaf Spot
24.5,56.9,128.3,6.58,51,48,34,Potato,Common Scab
22.6,69.9,132.2,6.02,84,57,31,Potato,Early Blight
29.2,82.7,206.4,6.03,110,43,21,Maize,Gray Leaf Spot
29.3,77.4,179.8,6.58,98,42,36,Chili,Powdery Mildew
22.6,78,169.4,6.12,83,54,39,Apple,Cedar Apple Rust
32.1,56.4,185.2,6.67,104,55,17,Chili,Anthracnose
21.9,69.7,163,6.58,86,51,47,Apple,Fire Blight
30.6,47.4,200.3,6.77,100,50,23,Chili,Anthracnose
18.5,84.8,186.7,6.03,106,26,44,Wheat,Septoria Leaf Spot
37.8,80.2,264,6.41,97,41,41,Rice,Bacterial Leaf Blight
31.6,72.4,225.5,5.69,75,33,29,Rice,Brown Spot
22.4,88.7,198,5.6,89,39,38,Tomato,Late Blight
29.7,71.4,162.2,6.12,99,38,28,Maize,Common Rust
20.8,76.8,176.2,6.48,86,24,46,Potato,Late Blight
27,62.5,184,7.11,80,44,32,Cotton,Verticillium Wilt
27.9,65.5,144.3,6.28,95,38,43,Wheat,Leaf Rust
28.7,76.7,229.6,6.53,93,38,29,Cotton,Leaf Spot
27.1,58.1,208.1,5.45,69,31,27,Rice,Brown Spot
27.6,83.3,189.6,5.88,92,31,31,Maize,Common Rust
20.2,67.1,145.4,5.91,81,50,28,Potato,Early Blight
26.7,77.7,164.4,6.36,102,35,30,Chili,Powdery Mildew
21.5,80,197.3,5.89,84,39,38,Tomato,Late Blight
25.8,76.2,175.2,6.35,103,40,26,Maize,Common Rust
21.9,70.3,198.4,5.84,97,25,38,Wheat,Septoria Leaf Spot
22.7,63.5,130.3,6.84,103,44,48,Wheat,Powdery Mildew
27.6,74.3,153.7,6.46,89,33,35,Chili,Powdery Mildew
27.3,59.3,174.9,6.65,89,46,38,Cotton,Verticillium Wilt
20.8,62.3,120.2,6.73,105,34,45,Wheat,Powdery Mildew
28.2,76.5,181.1,6.66,89,44,39,Chili,Powdery Mildew
29.5,76.5,227.4,6.72,97,44,28,Cotton,Leaf Spot
33.2,75.3,179.7,6.06,103,48,22,Maize,Gray Leaf Spot
34,52.8,269.7,6.62,87,43,33,Rice,Leaf Blast
27.7,77.2,170.1,5.97,103,40,28,Maize,Common Rust
34.5,59.3,206.4,6.79,108,61,22,Chili,Anthracnose
33.9,85.1,150.5,6.91,121,45,24,Maize,Turcicum Leaf Blight
33.5,52.3,270.5,6.61,95,40,30,Rice,Leaf Blast
24.4,64,134,5.81,78,59,32,Potato,Early Blight
23.8,89.7,161.2,5.87,75,40,46,Apple,Apple Scab
21,83,190.5,5.94,85,49,52,Apple,Apple Scab
33.4,80.1,184.2,6.41,109,35,23,Maize,Gray Leaf Spot
21.7,51,149.3,6.89,107,44,40,Wheat,Powdery Mildew
27.2,75.8,158.9,6.08,96,41,31,Maize,Common Rust
32,83.7,272.9,6.16,98,26,44,Chili,Leaf Spot
27.9,53.9,194.7,6.63,72,50,32,Cotton,Verticillium Wilt
23.2,77.1,172.7,6.15,76,26,41,Potato,Late Blight
28.2,61.8,212.2,5.78,86,30,31,Rice,Brown Spot
27.3,66.9,152.6,6.53,98,48,44,Wheat,Leaf Rust
25.6,55.4,105.4,6.95,57,56,34,Potato,Common Scab
24.1,60.6,137.2,6.31,103,32,42,Wheat,Leaf Rust
22.4,73.1,165.7,6.25,79,28,46,Potato,Late Blight
26,64.2,154.1,6.61,80,46,39,Cotton,Verticillium Wilt
20.4,84.2,188.7,6.12,75,40,41,Tomato,Late Blight
30.2,88,280.5,6.11,107,31,42,Chili,Leaf Spot
33.9,74.9,233.3,5.62,76,31,28,Rice,Brown Spot
23.6,68.6,154.9,5.96,76,53,27,Potato,Early Blight
26.2,67.8,186.5,7.45,89,45,32,Cotton,Verticillium Wilt
29.5,74.2,210.2,6.18,70,32,28,Rice,Brown Spot
31.8,62.3,242.6,5.97,70,31,28,Rice,Brown Spot
20.9,84.3,175.3,6.14,109,34,34,Wheat,Septoria Leaf Spot
35.9,42.8,218.4,6.48,83,51,42,Cotton,Bacterial Blight
28.8,70.3,188.7,6.37,88,39,31,Cotton,Leaf Spot
24.1,64.8,127.8,6.98,98,38,40,Wheat,Powdery Mildew
20.9,78.1,183.6,6.05,78,43,49,Apple,Cedar Apple Rust
32.5,48.6,197.7,6.72,108,55,15,Chili,Anthracnose
23.4,51.2,156.5,5.8,72,41,27,Cotton,Verticillium Wilt
15.2,75,171.8,6.43,73,46,45,Apple,Apple Scab
19.8,71.1,197.6,6.59,72,49,51,Apple,Apple Scab
25.5,74.5,131.3,6.29,99,58,33,Tomato,Early Blight
21.6,85,182.6,6.53,71,45,42,Apple,Apple Scab
28.7,87,201.4,6.02,102,36,26,Maize,Gray Leaf Spot
28.2,78.5,206.2,6.45,99,38,27,Maize,Gray Leaf Spot
27.6,65.1,169.5,6.39,88,47,39,Wheat,Leaf Rust
33.9,85.2,153,6.96,121,50,28,Maize,Turcicum Leaf Blight
23.5,48.5,100.1,7.59,69,44,39,Potato,Common Scab
24.4,69.4,144,6.05,64,64,27,Potato,Early Blight
28.7,74.1,214,6.64,97,42,26,Cotton,Leaf Spot
32.5,77.6,194.2,6.2,110,46,26,Maize,Gray Leaf Spot
18.7,83.2,168.9,6.98,89,42,42,Apple,Cedar Apple Rust
25,71.9,157.9,6.45,86,51,37,Tomato,Early Blight
26.7,57.4,127.9,7.57,59,58,40,Potato,Common Scab
29.5,71.3,162.6,6.43,93,31,34,Chili,Powdery Mildew
22.9,64.9,135.9,6.09,67,50,31,Potato,Early Blight
26.5,71.8,174.1,6.69,102,54,41,Tomato,Bacterial Spot
23.5,63.9,158.1,5.86,68,51,34,Potato,Early Blight
36.8,59.8,234,6.77,80,57,40,Cotton,Bacterial Blight
30.3,79.4,189.1,6.31,90,47,29,Cotton,Leaf Spot
22.4,84.1,183.2,5.9,75,35,42,Apple,Apple Scab
29.7,69.3,177.6,6.4,104,31,34,Chili,Powdery Mildew
23.6,64.7,135,6.52,85,41,43,Wheat,Leaf Rust
32.5,79.1,195.1,6.64,101,38,16,Maize,Gray Leaf Spot
22.9,74.9,174,6.28,100,25,41,Wheat,Septoria Leaf Spot
23.3,53,134.2,6.74,112,38,47,Wheat,Powdery Mildew
25.5,73.3,152.8,6.51,95,31,37,Wheat,Leaf Rust
29.1,80.3,270.7,6.22,104,32,38,Chili,Leaf Spot
24.4,61.1,128.3,6.57,109,35,47,Wheat,Powdery Mildew
23.1,66.4,131.4,5.95,75,57,33,Potato,Early Blight
20.8,64.8,146,5.82,68,52,25,Potato,Early Blight
31.5,58.6,202.2,6.95,89,54,33,Cotton,Verticillium Wilt
26.8,74.7,131.2,7.21,97,54,45,Apple,Fire Blight
30.1,70.4,201,6.1,80,45,30,Cotton,Leaf Spot
25.5,73.4,153.9,6.65,93,44,44,Wheat,Leaf Rust
22.5,50.8,119.5,7.48,69,52,41,Potato,Common Scab
29.6,88.4,283.9,6.35,105,33,37,Chili,Leaf Spot
25.8,64.1,144.1,6.46,97,51,37,Tomato,Early Blight
33.8,84.2,226.9,6.41,106,40,43,Rice,Bacterial Leaf Blight
21.4,80.4,160.9,6.69,84,51,47,Apple,Cedar Apple Rust
29.7,89.6,177.2,6.36,99,48,29,Maize,Gray Leaf Spot
23.3,56.2,132.1,6.93,107,44,43,Wheat,Powdery Mildew
36.7,81,259.7,6.32,99,44,41,Rice,Bacterial Leaf Blight
22,54.4,124.3,6.49,98,40,40,Wheat,Powdery Mildew
28,63.6,230.6,5.77,78,39,28,Rice,Brown Spot
18.4,85.6,162.5,5.87,84,32,35,Tomato,Late Blight
28.9,72.9,149.3,6.47,86,58,29,Tomato,Early Blight
22.8,68.9,138.9,6.66,99,49,51,Apple,Fire Blight
26.7,67.5,127.5,6.32,91,54,25,Tomato,Early Blight
19.6,92.8,175.2,6.02,77,36,31,Tomato,Late Blight
23.2,76.8,172.7,6.42,90,52,36,Apple,Cedar Apple Rust
24.8,71.1,148.8,5.48,93,38,24,Maize,Common Rust
33.2,88.2,230.5,6.29,100,38,38,Rice,Bacterial Leaf Blight
22.2,76,156.9,6.97,84,58,55,Apple,Fire Blight
33.1,60.3,236.3,5.69,87,29,31,Rice,Brown Spot
35,53.4,265.2,6.51,92,32,30,Rice,Leaf Blast
32.6,77.3,250.1,6.04,96,37,44,Rice,Bacterial Leaf Blight
22.1,74.5,145.1,6.48,86,43,44,Wheat,Leaf Rust
31.6,70.7,163.1,6.25,92,46,47,Tomato,Bacterial Spot
31.6,46.6,284.5,6.56,88,34,35,Rice,Leaf Blast
30,79.7,177.8,6.14,97,42,29,Maize,Common Rust
29.9,88.7,252.6,6.44,99,31,40,Chili,Leaf Spot
26,79.3,188.1,5.74,98,42,22,Maize,Gray Leaf Spot
20.5,77.7,144.2,6.92,96,46,50,Apple,Fire Blight
31.2,45.1,281.4,6.46,99,32,33,Rice,Leaf Blast
17.9,78.9,188.6,6.43,76,40,44,Apple,Apple Scab
35.8,55.6,247.3,6.6,66,58,42,Cotton,Bacterial Blight
19.5,77.6,146.3,6.45,81,29,46,Potato,Late Blight
21.9,62.6,124.4,6.7,91,35,45,Wheat,Powdery Mildew
26.3,60,197.6,6.65,83,44,33,Cotton,Verticillium Wilt
30.7,88.4,201.5,6.09,107,49,23,Maize,Gray Leaf Spot
27,68.7,155.9,6.37,95,30,41,Wheat,Leaf Rust
25.5,80.5,186,6.44,95,51,48,Apple,Cedar Apple Rust
21.4,85,171.5,6.02,98,27,34,Wheat,Septoria Leaf Spot
25.8,71.8,162.1,6.33,85,50,35,Tomato,Bacterial Spot
35,47,212.7,6.73,77,53,41,Cotton,Bacterial Blight
30.2,85.2,250.4,6,96,26,42,Chili,Leaf Spot
20.7,84.2,186.9,5.85,104,28,37,Wheat,Septoria Leaf Spot
15.8,75.3,168.6,6.65,85,41,50,Apple,Apple Scab
30.5,72.9,215.1,6.19,82,36,25,Rice,Brown Spot
28.1,72.4,184.9,6.53,94,43,37,Chili,Powdery Mildew
35.9,54.7,260.8,6.71,87,33,36,Rice,Leaf Blast
38,48.9,208.9,6.56,80,56,42,Cotton,Bacterial Blight
30.6,52.2,292.7,6.43,85,33,30,Rice,Leaf Blast
24,75.5,131.2,7.39,95,48,59,Apple,Fire Blight
22,68.9,176.8,6.34,83,21,44,Potato,Late Blight
35.6,41.7,239.3,6.43,70,50,43,Cotton,Bacterial Blight
22.2,59.3,145.5,6.52,92,44,41,Wheat,Powdery Mildew
22.9,58.1,122.6,6.43,92,40,45,Wheat,Powdery Mildew
25.7,82.4,191.9,6.14,95,44,18,Maize,Gray Leaf Spot
35.4,54.8,261.6,6.74,89,31,38,Rice,Leaf Blast
25.6,67.3,171.1,5.85,78,37,30,Chili,Powdery Mildew
23.8,58.9,109.1,7.45,54,46,42,Potato,Common Scab
20.2,73.5,153.3,6.6,73,37,54,Apple,Apple Scab
29.2,89.9,200.1,6.67,100,37,22,Maize,Gray Leaf Spot
29.8,54.1,219.7,6.26,55,45,33,Cotton,Bacterial Blight
28.2,61,131.6,6.15,83,52,25,Tomato,Early Blight
31.3,74.8,243.9,6.04,87,28,25,Rice,Brown Spot
27.9,69.7,137.2,6.05,93,58,35,Tomato,Early Blight
26.8,73,148.3,6.38,92,49,41,Wheat,Leaf Rust
18.4,89.9,188.6,5.96,86,32,38,Tomato,Late Blight
33,60.7,251.1,5.88,73,29,27,Rice,Brown Spot
24.6,76.5,161.1,6.53,85,52,49,Apple,Cedar Apple Rust
24.6,67.2,140.1,6.96,82,59,47,Apple,Fire Blight
23.3,80.6,182.7,6.86,84,49,43,Apple,Cedar Apple Rust
29.1,67,258.1,6.03,86,25,29,Rice,Brown Spot
27.2,61.1,193.8,6.54,70,46,31,Cotton,Verticillium Wilt
32.7,70.3,273.4,6.24,104,47,47,Rice,Bacterial Leaf Blight
29,65.1,156.6,7.34,81,50,39,Cotton,Verticillium Wilt
21.5,71.6,170.4,6.24,88,33,44,Potato,Late Blight
27,69.8,153.4,6.62,94,47,43,Tomato,Bacterial Spot
33.3,67.6,198.6,6.03,82,37,25,Cotton,Leaf Spot
23.3,75,169.2,6.5,82,44,47,Apple,Cedar Apple Rust
31.6,61.3,257.6,6,85,35,30,Rice,Brown Spot
22.6,79.9,193,6.32,114,35,43,Wheat,Septoria Leaf Spot
33.6,74.1,246.5,6.06,109,43,43,Rice,Bacterial Leaf Blight
24.2,64,125.6,6.62,108,35,40,Wheat,Powdery Mildew
38.6,59.6,209.4,7.49,122,64,24,Chili,Anthracnose
29.8,87.8,286,6.06,95,33,35,Chili,Leaf Spot
32.9,93.7,139,6.98,115,52,29,Maize,Turcicum Leaf Blight
30.6,56.8,204.6,6.72,69,54,36,Cotton,Bacterial Blight
34.7,74.6,222.4,6.54,88,49,30,Cotton,Leaf Spot
28.1,68.3,155,6.49,92,54,36,Tomato,Early Blight
18.6,72.3,150.3,6.16,86,27,43,Potato,Late Blight
26.3,49.1,132.3,6.79,56,46,44,Potato,Common Scab
32.3,82.8,185.6,6.36,101,44,16,Maize,Gray Leaf Spot
21.6,55.9,127.1,6.46,93,42,46,Wheat,Powdery Mildew
25.7,65.4,132.6,6.36,83,45,33,Tomato,Early Blight
31.9,87,201.5,6.13,108,37,23,Maize,Gray Leaf Spot
27.5,72.1,177.7,6.04,95,44,32,Maize,Common Rust
22.5,51.4,101.2,7.22,63,42,34,Potato,Common Scab
34.4,87.8,136.8,7.12,117,48,22,Maize,Turcicum Leaf Blight
22.2,72.9,174.7,5.88,107,26,44,Wheat,Septoria Leaf Spot
27.9,68.6,204.6,7.22,87,44,33,Cotton,Verticillium Wilt
35.3,88.2,142.7,7,122,47,23,Maize,Turcicum Leaf Blight
20.8,53.5,120.7,6.9,109,36,42,Wheat,Powdery Mildew
19.8,80.6,188.1,6.16,84,43,54,Apple,Apple Scab
27.8,61.3,142.6,6.28,87,57,25,Tomato,Early Blight
23.5,52.9,139.2,6.56,107,43,42,Wheat,Powdery Mildew
32.8,81.8,203.9,6.69,96,35,17,Maize,Gray Leaf Spot
21.6,76.5,151.1,6.25,80,22,43,Potato,Late Blight
30.6,49.4,183.9,6.92,114,53,18,Chili,Anthracnose
32.7,77,272.6,6.2,91,46,47,Rice,Bacterial Leaf Blight
22.2,65.5,169.2,6.34,95,48,42,Wheat,Leaf Rust
18.3,79.5,173,6.15,89,29,45,Potato,Late Blight
25,49.4,128.6,7.64,52,50,37,Potato,Common Scab
21.5,71.3,155,7.37,89,57,56,Apple,Fire Blight
32.5,48.3,280.3,6.77,97,44,30,Rice,Leaf Blast
18.6,68.6,145.4,6.23,79,28,42,Potato,Late Blight
22.8,86.2,170.3,8.2,110,65,63,Apple,Fire Blight
33.9,65.8,202.8,6.06,82,27,29,Rice,Brown Spot
31.1,54,269.9,6.42,91,34,37,Rice,Leaf Blast
18.4,85.7,187.9,6.6,89,46,46,Apple,Apple Scab
27.8,70.8,123.5,6.01,91,57,33,Tomato,Early Blight
24.4,50,131.7,7.18,53,57,43,Potato,Common Scab
25.7,74.4,128.4,6.02,97,56,28,Tomato,Early Blight
33.5,77.6,272.3,6.66,96,45,35,Rice,Bacterial Leaf Blight
31.1,75.1,154.5,6.77,102,46,43,Tomato,Bacterial Spot
20.3,82.4,178.4,6.78,76,44,39,Apple,Cedar Apple Rust
33.4,79.6,249.9,6.22,95,37,45,Rice,Bacterial Leaf Blight
20.3,75.2,163.3,6.27,76,49,49,Apple,Cedar Apple Rust
33.3,57.8,208.2,6.79,104,55,22,Chili,Anthracnose
31.9,46,276.3,6.33,86,33,34,Rice,Leaf Blast
20.4,62,131.4,5.93,69,54,33,Potato,Early Blight
30.6,60.3,204.5,5.86,89,35,25,Rice,Brown Spot
27,66.8,153,6.9,77,44,39,Cotton,Verticillium Wilt
32.9,70.3,243.5,5.99,76,26,27,Rice,Brown Spot
24.9,54.5,106.3,7.21,64,45,33,Potato,Common Scab
29.6,80.9,182.6,6.41,109,41,31,Maize,Common Rust
31.3,66.1,177.2,6.44,103,41,45,Tomato,Bacterial Spot
17.6,83.2,163.8,6.62,76,49,49,Apple,Apple Scab
31.8,58.4,197.8,6.9,108,51,19,Chili,Anthracnose
18.1,77.5,179,6.07,77,49,46,Apple,Cedar Apple Rust
32.7,49.7,285.3,6.77,89,30,34,Rice,Leaf Blast
30.9,81.3,275.6,6.14,98,29,36,Chili,Leaf Spot
19.2,69.9,152.9,6.18,76,27,40,Potato,Late Blight
32.5,71.2,242.3,6.72,101,41,43,Rice,Bacterial Leaf Blight
31.8,38.8,223.4,6.5,79,56,41,Cotton,Bacterial Blight
19.9,83.6,167.6,6.29,103,25,35,Wheat,Septoria Leaf Spot
26.4,83.2,171.7,6.43,90,35,34,Maize,Common Rust
33.6,76,174.5,6.42,102,41,19,Maize,Gray Leaf Spot
25.2,46.1,110.2,7.04,59,40,32,Potato,Common Scab
25.1,78.2,156.2,6.72,91,35,30,Chili,Powdery Mildew
23.1,75.9,172.2,6.33,77,28,49,Potato,Late Blight
32.9,51.2,192.7,6.67,97,56,22,Chili,Anthracnose
26,74.4,158,6.3,91,44,36,Tomato,Bacterial Spot
25.7,69.9,151.2,6.21,92,44,38,Chili,Powdery Mildew
20.6,68.5,133.8,5.96,79,52,27,Potato,Early Blight
31.8,84.9,273.3,6.33,97,27,44,Chili,Leaf Spot
30.4,69.1,169.6,6.67,101,44,45,Tomato,Bacterial Spot
34.2,91.2,147.3,6.96,111,46,25,Maize,Turcicum Leaf Blight
32.2,44,215.1,6.61,70,55,43,Cotton,Bacterial Blight
20.4,81.3,189.9,6.09,76,42,41,Tomato,Late Blight
22.7,89.3,162.1,6.02,76,40,41,Tomato,Late Blight
20.9,84.9,164.4,6.59,92,50,48,Apple,Cedar Apple Rust
29.8,76.1,160.4,6.78,104,46,47,Tomato,Bacterial Spot
28.1,86.3,279.1,6.49,112,29,38,Chili,Leaf Spot
29.4,89.3,257.3,6.32,106,26,38,Chili,Leaf Spot
22.5,64.2,157.4,5.94,74,59,25,Potato,Early Blight
25.3,73.8,152.2,6.07,95,58,26,Tomato,Early Blight
29.6,58.7,197.4,7.32,75,45,39,Cotton,Verticillium Wilt
34.2,53.7,267.1,6.68,93,43,35,Rice,Leaf Blast
32.5,87.2,150.2,7.16,105,52,25,Maize,Turcicum Leaf Blight
20.9,72.3,147.7,6.72,86,59,49,Apple,Fire Blight
34,38.6,246.2,6.73,73,48,36,Cotton,Bacterial Blight
28.1,72.3,151.9,6.05,95,46,26,Tomato,Early Blight
25,50.5,146.9,6.77,109,39,48,Wheat,Powdery Mildew
22.8,68.6,156.9,6.88,92,56,56,Apple,Fire Blight
21,81.5,179.4,5.92,107,27,43,Wheat,Septoria Leaf Spot
21.7,70.7,152.2,6.06,84,31,46,Potato,Late Blight
36.9,73.8,262.1,6.29,95,39,45,Rice,Bacterial Leaf Blight
33.8,63.5,246.4,5.74,72,37,28,Rice,Brown Spot
30.9,64.1,201.8,5.92,77,29,33,Rice,Brown Spot
27.7,67.6,126.5,6.29,98,57,33,Tomato,Early Blight
28.1,76.4,168.3,6.4,87,43,36,Tomato,Bacterial Spot
20.2,84.9,198.6,6.68,72,40,43,Apple,Apple Scab
25.3,69,172.9,6.78,102,43,31,Chili,Powdery Mildew
36.3,76.5,239.1,6.45,102,37,37,Rice,Bacterial Leaf Blight
30.3,61.3,157.2,7.03,77,51,37,Cotton,Verticillium Wilt
28.6,82.5,274.4,6.35,114,29,40,Chili,Leaf Spot
20.9,74,169.4,6.79,96,59,53,Apple,Fire Blight
34.8,45.1,201.3,6.68,65,57,39,Cotton,Bacterial Blight
24.1,72.7,148.9,6.27,94,46,32,Tomato,Early Blight
33.4,66.7,216.5,5.78,77,29,27,Rice,Brown Spot
31.5,61,211.5,5.79,88,30,31,Rice,Brown Spot
21.4,81.3,163.1,6.52,86,51,38,Apple,Cedar Apple Rust
33,77.4,270.8,6.83,97,43,45,Rice,Bacterial Leaf Blight
24.7,67.3,129.9,6.08,94,53,28,Tomato,Early Blight
21.7,56,125.5,6.34,96,38,36,Wheat,Powdery Mildew
28.1,71.8,172.7,6.53,102,50,43,Tomato,Bacterial Spot
29.7,66.7,210.3,6.11,84,26,31,Rice,Brown Spot
18.6,87.5,171.3,5.84,77,34,35,Tomato,Late Blight
28.3,73.8,193.7,6.03,96,39,32,Cotton,Leaf Spot
29.2,73.4,229.1,6.52,98,41,34,Cotton,Leaf Spot
29.9,88.4,296.8,6.49,102,34,36,Chili,Leaf Spot
30,69.2,173,6.47,96,32,38,Chili,Powdery Mildew
36.5,80.6,268.5,6.78,94,45,47,Rice,Bacterial Leaf Blight
26.9,70.1,175.4,6.55,90,32,33,Chili,Powdery Mildew
20.6,66.6,167.4,6.11,84,29,41,Potato,Late Blight
22.6,64.3,130.8,5.84,60,59,28,Potato,Early Blight
24.8,76.1,132.3,7.23,85,53,48,Apple,Fire Blight
31,53.1,292.7,6.76,88,43,33,Rice,Leaf Blast
21.2,58.7,122,6.46,109,38,47,Wheat,Powdery Mildew
31.6,54.3,286,6.68,88,36,36,Rice,Leaf Blast
24.4,62.1,143,6.3,93,50,36,Tomato,Early Blight
32.9,90.4,133,6.93,115,54,23,Maize,Turcicum Leaf Blight
28.7,64.7,134.4,6.24,91,57,27,Tomato,Early Blight
22.5,81.1,192.1,5.66,82,43,38,Tomato,Late Blight
32,71.5,207,6.2,88,42,34,Cotton,Leaf Spot
22.8,82.8,171.6,6.56,95,27,38,Wheat,Septoria Leaf Spot
19.6,85.1,159.5,6.75,76,39,50,Apple,Apple Scab
22.4,85.6,176.3,5.8,88,40,33,Tomato,Late Blight
28.7,88,298.6,6.11,98,29,42,Chili,Leaf Spot
33.2,65.9,220.1,5.65,77,29,31,Rice,Brown Spot
31.2,85.3,187.9,6.6,112,42,29,Maize,Gray Leaf Spot
26.3,69.9,159.4,6.75,95,39,34,Chili,Powdery Mildew
22.1,58.2,125.2,6.58,103,44,40,Wheat,Powdery Mildew
24,70.5,160.6,6.74,89,45,42,Wheat,Leaf Rust
23,72.8,130.5,6.41,100,48,44,Wheat,Leaf Rust
26.7,78.5,163.2,6.27,94,54,41,Tomato,Bacterial Spot
26,67.7,193.8,6.66,81,44,31,Cotton,Verticillium Wilt
28.9,82,197.6,6.56,104,37,21,Maize,Gray Leaf Spot
26.6,72.8,151.8,6.77,87,43,30,Chili,Powdery Mildew
26.5,72.1,164.4,6.67,84,47,56,Apple,Fire Blight
17.9,76,165.3,6.61,86,39,48,Apple,Apple Scab
22.7,63.1,149.9,6.75,106,38,43,Wheat,Powdery Mildew
31.9,66.3,242.8,6.1,73,31,29,Rice,Brown Spot
19.3,71.7,198.8,5.82,111,36,34,Wheat,Septoria Leaf Spot
27.3,64.5,164.3,6.69,100,32,41,Wheat,Leaf Rust
24.3,72.1,147.7,7,88,53,58,Apple,Fire Blight
23.1,76.6,192.5,5.89,70,42,40,Apple,Apple Scab
31.6,58.5,213.2,6.37,62,53,36,Cotton,Bacterial Blight
29.5,82.5,187.5,6.41,107,30,33,Maize,Common Rust
32,72.8,215.5,5.84,89,29,30,Rice,Brown Spot
29.2,67.1,157,7.19,78,43,34,Cotton,Verticillium Wilt
29.9,88.3,272.6,6.07,114,33,42,Chili,Leaf Spot
22.2,62.5,154.6,6.12,77,54,30,Potato,Early Blight
28.5,81.1,176.5,6.18,107,36,25,Maize,Common Rust
25.3,74.8,132.2,6.16,99,47,36,Tomato,Early Blight
19.5,83.8,183.3,6.23,106,30,42,Wheat,Septoria Leaf Spot
22.9,66.1,142.7,6.09,83,63,29,Potato,Early Blight
18.4,84.9,194.2,6.57,70,47,51,Apple,Apple Scab
